,District,Sector,Cellule,Village,Vill_Code,,NEP results,,,,,,,,,,,
Iburasirazuba,Gatsibo,Rwimbogo,Rwikiniro,Ndama I,53140407,7,GE,,,,,,,,,,,
Iburasirazuba,Gatsibo,Rwimbogo,Rwikiniro,Ndama Ii,53140408,8,GE,,,,,,,,,,,
Iburasirazuba,Gatsibo,Rwimbogo,Rwikiniro,Rukomo,53140410,10,GE,,,,,,,,,,,
Iburasirazuba,Gatsibo,Rwimbogo,Rwikiniro,Rwikiniro Ii,53140412,12,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Juru,Juru,54010102,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Juru,Kimana,54010104,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Juru,Kwisoko,54010105,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Juru,Musimbi,54010108,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Juru,Nyabombe,54010109,9,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Juru,Nyabugogo,54010110,10,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Juru,Rubariro,54010112,12,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Kahi,Akabare,54010201,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Kahi,Nyamiyaga,54010202,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Kiyenzi,Kinyinya,54010302,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Kiyenzi,Nyagahandag,54010304,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Urugarama,Akabahizi,54010401,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Urugarama,Akabeza,54010402,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Urugarama,Akumuyenzi,54010403,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Urugarama,Akimpara,54010404,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Urugarama,Buyanja,54010405,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Urugarama,Ibiza,54010406,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Urugarama,Myatano,54010407,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Urugarama,Rwinkuba,54010409,9,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Urugarama,Umwiga,54010410,10,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Urugarama,Urugarama,54010411,11,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Gahini,Urugarama,Videwo,54010412,12,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Cyarubare,Kabeza,54020101,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Cyarubare,Kacyiru,54020102,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Cyarubare,Kiburara,54020105,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Cyarubare,Umuremampa,54020112,12,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Cyarubare,Umuyenzi,54020113,13,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Kirehe,Gahama,54020302,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Kirehe,Kabatinya,54020304,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Kirehe,Rushenyi,54020310,10,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Rubimba,Buhabwa,54020402,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Rubimba,Kamuhabura,54020405,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Rubimba,Nyarusange,54020406,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Rubumba,Bwatampama,54020501,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Rubumba,Gakenyeri,54020502,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabare,Rubumba,Gakoma,54020503,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyabajwa,Kabarondo,54030103,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyabajwa,Rutagara,54030108,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyinzovu,Agashikiri,54030201,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyinzovu,Bitoma,54030203,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyinzovu,Cyinzovu,54030204,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyinzovu,Gihuke,54030205,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyinzovu,Munini,54030206,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyinzovu,Nyabisenga,54030207,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyinzovu,Nyakabungo,54030208,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyinzovu,Rugarama,54030209,9,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyinzovu,Rugazi,54030210,10,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Cyinzovu,Rurenge,54030211,11,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Agasharu,54030301,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Agatare,54030302,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Akagarama,54030303,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Gashonyi,54030304,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Gisoro,54030305,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Kabeza,54030306,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Kabuye,54030307,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Kanyegenyeg,54030308,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Murambi,54030309,9,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Nyabikenke I,54030310,10,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Nyabikenke I,54030311,11,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Kabura,Rubira,54030312,12,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Kabarondo,Rusera,Rutagara Cen,54030404,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Bwiza,Abemeramah,54040101,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Bwiza,Abisunganye,54040102,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Bwiza,Amizero,54040103,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Bwiza,Karambarara,54040104,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Bwiza,Kinyemera,54040105,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Kayonza,Akabuga,54040201,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Kayonza,Buhonde,54040202,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Kayonza,Cyeru,54040203,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Kayonza,Gakurazo,54040204,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Kayonza,Gasogororo,54040205,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Kayonza,Kabungo,54040207,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Kayonza,Kayonza Cen,54040208,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Kayonza,Kivugiza,54040209,9,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Kayonza,Miyange,54040210,10,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Kayonza,Munazi,54040211,11,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Mburabuturo,Bwingeyo,54040303,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Mburabuturo,Gihima,54040304,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Mburabuturo,Mburabuturo,54040306,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Nyagatovu,Akabeza,54040401,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Nyagatovu,Akamarara,54040402,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Nyagatovu,Akamayange,54040403,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Nyagatovu,Akanyinya,54040404,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Nyagatovu,Gatagara,54040405,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Nyagatovu,Iragwe,54040406,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Nyagatovu,Irebero,54040407,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Nyagatovu,Nyagatovu,54040408,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Rugendabari,Gikumba,54040501,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Rugendabari,Karambo Ii,54040504,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Rugendabari,Nyakagarama,54040505,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mukarange,Rugendabari,Rugendabari,54040506,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Bunyentongo,Gisunzu,54050103,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Bunyentongo,Kabeza,54050104,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Bunyentongo,Kagarama,54050105,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Bunyentongo,Nyamabuye,54050107,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Bunyentongo,Shyanda,54050108,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Muko,Gihazo,54050201,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Muko,Karama,54050202,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Muko,Ngoma,54050203,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Murama,Rwabugenger,54050305,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Nyakanazi,Nyakanazi,54050403,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Nyakanazi,Rugazi,54050404,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Nyakanazi,Rurenge,54050405,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Rusave,Byimana,54050503,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Rusave,Kinyinya,54050505,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murama,Rusave,Seresi,54050506,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Buhabwa,Buhabwa,54060101,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Karambi,Kabana,54060204,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Karambi,Karambi,54060206,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Karambi,Nyagashanga,54060210,10,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Karambi,Nyamirama,54060211,11,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Karambi,Rumuri,54060214,14,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Karambi,Rushenyi,54060215,15,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Karambi,Rwinsheke I,54060217,17,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Karambi,Rwinsheke Ii,54060218,18,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Murundi,Macuba,54060304,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Ryamanyoni,Cyandoriman,54060402,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Ryamanyoni,Kabingo,54060403,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Ryamanyoni,Kaneke,54060404,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Ryamanyoni,Kanyegera,54060405,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Ryamanyoni,Ngarama,54060406,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Ryamanyoni,Nyabugando,54060407,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Ryamanyoni,Rwakabanda,54060408,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Ryamanyoni,Ryakirenzi I,54060410,10,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Ryamanyoni,Ryamanyoni,54060412,12,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Murundi,Ryamanyoni,Ubwiza,54060413,13,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Kageyo,Kiyonza,54070102,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Migera,Murori,54070202,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Migera,Mwiri,54070203,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Migera,Nyakagarama,54070204,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Migera,Umutekano,54070205,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Nyamugari,Gasarabwayi,54070301,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Nyamugari,Ruhoroba,54070305,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Nyawera,Gitega,54070401,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Nyawera,Muhozi,54070402,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Nyawera,Murehe,54070403,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Nyawera,Nyakabungo,54070404,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Mwiri,Nyawera,Ryakibanda,54070405,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ndego,Byimana,Busasamana,54080101,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ndego,Byimana,Irebero,54080102,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ndego,Byimana,Kabeza,54080103,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ndego,Byimana,Kururembo,54080104,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ndego,Kiyovu,Iramiro,54080403,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Gikaya,Gasogi,54090102,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Gikaya,Karambi,54090106,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Gikaya,Kiyanja,54090108,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Musumba,Karama,54090201,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Musumba,Kiyovu,54090202,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Musumba,Musenyi,54090203,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Musumba,Nyabisindu,54090204,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Musumba,Nyagasambu,54090205,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Musumba,Nyarunazi,54090206,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Musumba,Rusera,54090207,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Rurambi,Bwiza,54090302,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Rurambi,Kabuye,54090306,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Rurambi,Ruvumu,54090309,9,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Shyogo,Gatoki,54090402,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Shyogo,Rugagi,54090406,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Shyogo,Rwangabarez,54090407,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Nyamirama,Shyogo,Rwinyana,54090408,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Kawangire,Butimba I,54100101,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Kawangire,Butimba Ii,54100102,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Kawangire,Gakenyeri,54100103,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Kawangire,Gitega,54100104,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Kawangire,Karama,54100105,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Kawangire,Kinunga,54100107,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Buyonza,54100202,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Gitarama,54100203,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Ibiza,54100204,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Kabuga,54100205,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Kamajigija,54100206,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Karambo Ii,54100208,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Karubamba,54100209,9,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Kinunga I,54100210,10,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Kinunga Ii,54100211,11,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Mitungo,54100212,12,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Munyinya,54100214,14,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Muzizi,54100215,15,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Nyirarukara,54100217,17,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rukara,Uruyenzi,54100218,18,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Akabare I,54100301,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Akabare Ii,54100302,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Karagari I,54100303,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Kigwene I,54100305,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Kigwene Ii,54100306,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Kinunga I,54100307,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Kinunga Ii,54100308,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Mirambi I,54100309,9,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Mirambi Ii,54100310,10,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Mirambi Iii,54100311,11,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Nyarutunga I,54100312,12,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rukara,Rwimishinya,Nyarutunga Ii,54100313,13,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Bugambira,Agasharu,54110101,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Bugambira,Agatare,54110102,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Bugambira,Amashya,54110103,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Bugambira,Buhoro,54110104,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Bugambira,Murambi,54110105,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Nkamba,Cyabitana,54110203,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Nkamba,Nyagacyamu,54110205,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Nkamba,Sabununga,54110206,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Nkamba,Umubuga,54110207,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Ruyonza,Gitoki,54110302,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Ruyonza,Gitwa,54110303,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Ruyonza,Taba,54110307,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Umubuga,Agasharu,54110401,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Umubuga,Akarugina,54110402,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Umubuga,Amazinga,54110403,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Umubuga,Gitesannyi,54110404,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Umubuga,Kabukara,54110405,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Umubuga,Kabuye,54110406,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Ruramira,Umubuga,Kamukire,54110408,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Gihinga,Akayebe,54120102,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Gihinga,Gihinga,54120103,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Gihinga,Karuhambo,54120104,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Gihinga,Rubirizi,54120107,7,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Gihinga,Rugunga,54120108,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Mbarara,Gacaca,54120201,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Mbarara,Gahushyi,54120202,2,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Mbarara,Mbarara I,54120204,4,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Mbarara,Mbarara Ii,54120205,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Mbarara,Mutembo,54120206,6,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Mukoyoyo,Bishenyi,54120301,1,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Mukoyoyo,Bwiza,54120303,3,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Mukoyoyo,Nyamabuye,54120309,9,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Mukoyoyo,Nyarwasham,54120311,11,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Nkondo,Kinihira,54120405,5,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Nkondo,Nkondo I,54120408,8,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Nkondo,Rwinkwavu,54120413,13,GE,,,,,,,,,,,
Iburasirazuba,Kayonza,Rwinkwavu,Nkondo,Seka,54120414,14,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Butezi,Cyamabuye,55010101,1,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Butezi,Cyasusa I,55010102,2,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Butezi,Kijumbura I,55010106,6,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Butezi,Kivogera,55010109,9,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Butezi,Rwabarimba,55010110,10,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Butezi,Rwabiyombe,55010111,11,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Butezi,Rwamuzima,55010113,13,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Butezi,Umubano I,55010115,15,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Muhamba,Bukorasi,55010201,1,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Muhamba,Gacaca,55010203,3,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Muhamba,Kabeza,55010206,6,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Muhamba,Muhero,55010207,7,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Muhamba,Murama,55010208,8,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Muhamba,Ntaruka,55010210,10,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Muhamba,Rusisiro,55010212,12,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Murehe,Cyumbati,55010302,2,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Murehe,Isangano,55010303,3,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Murehe,Murama I,55010305,5,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Murehe,Nyamahuna,55010308,8,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Murehe,Nyamirondog,55010309,9,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Murehe,Nyamugari,55010310,10,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Murehe,Nyombe,55010312,12,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Murehe,Village Daga,55010313,13,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Nyagasenyi,Cyabihama I,55010401,1,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Nyagasenyi,Cyabihama Ii,55010402,2,GE,,,,,,,,,,,
Iburasirazuba,Kirehe,Gahara,Nyagasenyi,Gasarabwayi,55010404,4,GE,,,,,,,,,,,
