,District,Sector,Cellule,Village,Vill_Code,,NEP results,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Kigali,Ruhango,11030109,9,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Kigali,Ryasharangab,11030110,10,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Agakomeye,11030201,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Akagugu,11030202,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Amahoro,11030203,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Amajyambere,11030204,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Birambo,11030205,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Isangano,11030206,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Kanyabami,11030207,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Karambo,11030208,8,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Mwendo,11030209,9,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Ruhuha,11030210,10,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Ubuzima,11030211,11,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Mwendo,Umutekano,11030212,12,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Nyabugogo,Gakoni,11030301,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Nyabugogo,Gatare,11030302,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Nyabugogo,Giticyinyoni,11030303,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Nyabugogo,Kadobogo,11030304,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Nyabugogo,Kamenge,11030305,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Nyabugogo,Karama,11030306,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Nyabugogo,Kiruhura,11030307,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Nyabugogo,Nyabikoni,11030308,8,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Nyabugogo,Nyabugogo,11030309,9,GE,,,,,,,,,,,
